method,n_cities,instance,mean_entropy,logprob_gap,sample_length_variance,sample_length_std,model_length,reference_length,reference_solver,gap_percent
Attention:batch_greedy_mean,20,147,0.2771109015651746,3.9950804210551674,2.15235515244765,1.4670907103678525,42.45643615722656,40.96745454370215,LKH,3.63454754538396
Attention:batch_greedy_mean,20,148,0.37120635364337884,3.2508916967789423,2.1766887028524784,1.4753605331756976,39.31715393066406,36.31928189813847,LKH,8.25421615144667
Attention:batch_greedy_mean,20,149,0.2215875451467582,4.47095103688386,3.9905138487839404,1.997627054478373,36.93819046020508,36.93818691041971,LKH,9.610069323029667e-06
Attention:batch_greedy_mean,20,150,0.2877778571768431,3.7959820349100872,1.3052054869571978,1.1424559015372093,38.27984619140625,38.095019439874406,LKH,0.4851730075202013
Attention:batch_greedy_mean,20,151,0.34065937517443673,3.0825861974893614,0.917979377535687,0.958112403393092,38.24970626831055,36.61169812626597,LKH,4.474002097349962
Attention:batch_greedy_mean,20,152,0.44583927566127385,3.141419738579327,7.514768215088732,2.7413077563616843,35.74349594116211,33.97455227506298,LKH,5.206672487623965
Attention:batch_greedy_mean,20,153,0.4662897155542055,3.455663970746246,3.406584983844259,1.8456936321730806,41.25422668457031,36.154710622379035,LKH,14.104707172057354
Attention:batch_greedy_mean,20,154,0.30013251030068205,4.068301067659824,1.3624551179734083,1.1672425274866438,36.760093688964844,34.35434907857069,LKH,7.0027366983203585
Attention:batch_greedy_mean,20,155,0.2311378712927919,4.835070559804682,6.896485181719555,2.626115987864884,41.35132598876953,39.151396942409434,LKH,5.619030783489357
Attention:batch_greedy_mean,20,156,0.3903612075668207,3.0894262066656912,2.3562176801486454,1.534997615681746,43.06416702270508,39.03872102760998,LKH,10.31141873794512
Attention:batch_greedy_mean,20,157,0.4182550850233838,3.8243149446540685,1.1107584411505458,1.0539252540624244,34.66645812988281,33.887516055084575,LKH,2.2986107141404455
Attention:batch_greedy_mean,20,158,0.3945940473437076,3.1551203183830454,16.444715920484484,4.055208492850212,45.910579681396484,42.14225003130155,LKH,8.941927987461447
Attention:batch_greedy_mean,20,159,0.2918328808806109,3.911705691255817,2.125872133585463,1.4580370823766668,46.238197326660156,42.95375534365341,LKH,7.6464606103224755
Attention:batch_greedy_mean,20,160,0.447728454950331,4.591924757820257,37.909797624106766,6.157093277197185,37.50776672363281,37.50776589793094,LKH,2.2014157737909383e-06
Attention:batch_greedy_mean,20,161,0.2819976235955437,4.205907059563472,2.7524296960416867,1.659044814356046,38.24736785888672,34.998038489881836,LKH,9.284318519577276
Attention:batch_greedy_mean,20,162,0.3864282867711154,3.551530068780834,1.6160154829586624,1.2712259763545828,38.05670928955078,37.872444785206696,LKH,0.486539766284274
Attention:batch_greedy_mean,20,163,0.34249639983754604,3.130686583549995,7.283521898032499,2.6988000848585467,46.022701263427734,40.965136757013305,LKH,12.34602129223593
Attention:batch_greedy_mean,20,164,0.27397973451652435,4.2181022028193595,7.154047453244792,2.6747051151939707,36.06991958618164,35.8596819591591,LKH,0.5862785600329219
Attention:batch_greedy_mean,20,165,0.3577056227601133,3.3416288552891897,1.3246272206618817,1.1509245069342653,38.42866897583008,36.44124300456417,LKH,5.453782054078086
Attention:batch_greedy_mean,20,166,0.25612035839876623,3.8464557937696435,3.8562059846590055,1.963722481579056,38.186241149902344,37.723211781202515,LKH,1.2274388813588673
Attention:batch_greedy_mean,20,167,0.5004707377632258,3.6138825929912883,2.197342443416529,1.482343564568123,38.89822006225586,37.51139874759912,LKH,3.6970663877083627
Attention:batch_greedy_mean,20,168,0.2179680145920429,4.146102950083178,1.1777921914442082,1.0852613470700079,39.26646423339844,39.22487075363528,LKH,0.10603853872304489
Attention:batch_greedy_mean,20,169,0.34118894076527795,4.07965560241693,5.155989049135315,2.270680305356814,37.35125732421875,35.501618806296484,LKH,5.210011768799169
Attention:batch_greedy_mean,20,170,0.3413190797373318,3.3749436426082142,3.2931573773356178,1.8147058652397687,37.781959533691406,35.023117136307164,LKH,7.877204038255788
