sigma,noise_percent,instance,method,length,reference_length,reference_solver,gap_percent
0.0,0.0,16,PointerNet:greedy_rollout,38.279782558700234,32.692467481950466,LKH,17.090527289916334
0.0,0.0,16,POMO,34.145826837643895,32.692467481950466,LKH,4.445548065455231
0.0,0.0,17,Attention:batch_greedy_mean,42.25747102049013,40.15884861802888,LKH,5.225803215680588
0.0,0.0,17,Attention:greedy_rollout,44.556636186447264,40.15884861802888,LKH,10.950980219198934
0.0,0.0,17,PointerNet:batch_greedy_mean,45.12054603145039,40.15884861802888,LKH,12.355178457965081
0.0,0.0,17,PointerNet:greedy_rollout,46.09361928463176,40.15884861802888,LKH,14.77823909507836
0.0,0.0,17,POMO,40.38807932881353,40.15884861802888,LKH,0.5708099675988837
0.0,0.0,18,Attention:batch_greedy_mean,39.94880070477754,38.896168624914765,LKH,2.7062616115575877
0.0,0.0,18,Attention:greedy_rollout,38.89616862491476,38.896168624914765,LKH,-1.8267679333973404e-14
0.0,0.0,18,PointerNet:batch_greedy_mean,49.61701270094899,38.896168624914765,LKH,27.562725211878675
0.0,0.0,18,PointerNet:greedy_rollout,47.65778939680492,38.896168624914765,LKH,22.525665333212128
0.0,0.0,18,POMO,38.896168624914765,38.896168624914765,LKH,0.0
0.0,0.0,19,Attention:batch_greedy_mean,46.11801519321559,44.707544722110676,LKH,3.15488242504033
0.0,0.0,19,Attention:greedy_rollout,47.44612001873979,44.707544722110676,LKH,6.125532756610359
0.0,0.0,19,PointerNet:batch_greedy_mean,50.1736372145137,44.707544722110676,LKH,12.226331207358154
0.0,0.0,19,PointerNet:greedy_rollout,50.09181877297697,44.707544722110676,LKH,12.043323077421059
0.0,0.0,19,POMO,48.1320820944552,44.707544722110676,LKH,7.659864556710662
0.0,0.0,20,Attention:batch_greedy_mean,41.24116030292592,39.95471034796365,LKH,3.2197704444823687
0.0,0.0,20,Attention:greedy_rollout,40.079769914525606,39.95471034796365,LKH,0.3130033116817035
0.0,0.0,20,PointerNet:batch_greedy_mean,49.221127084396976,39.95471034796365,LKH,23.192301122277076
0.0,0.0,20,PointerNet:greedy_rollout,41.95121912143984,39.95471034796365,LKH,4.996929663833613
0.0,0.0,20,POMO,40.11648974732291,39.95471034796365,LKH,0.40490695077084116
0.0,0.0,21,Attention:batch_greedy_mean,41.42252505091398,39.377718236407986,LKH,5.192801680965358
0.0,0.0,21,Attention:greedy_rollout,41.20573865399731,39.377718236407986,LKH,4.642271059523109
0.0,0.0,21,PointerNet:batch_greedy_mean,42.65332865440335,39.377718236407986,LKH,8.318436325664983
0.0,0.0,21,PointerNet:greedy_rollout,40.90114897764569,39.377718236407986,LKH,3.868763375499916
0.0,0.0,21,POMO,39.77417633939291,39.377718236407986,LKH,1.0068082172886397
0.0,0.0,22,Attention:batch_greedy_mean,36.448117878714065,35.09274942191249,LKH,3.862246415937031
0.0,0.0,22,Attention:greedy_rollout,36.23251104271484,35.09274942191249,LKH,3.247855011584438
0.0,0.0,22,PointerNet:batch_greedy_mean,40.220092216011,35.09274942191249,LKH,14.610832375809554
0.0,0.0,22,PointerNet:greedy_rollout,42.31094415969946,35.09274942191249,LKH,20.568906274638643
0.0,0.0,22,POMO,35.09274942191248,35.09274942191249,LKH,-2.024756530807545e-14
0.0,0.0,23,Attention:batch_greedy_mean,40.98832619180026,38.95090221969107,LKH,5.230749112350979
0.0,0.0,23,Attention:greedy_rollout,39.460411579072996,38.95090221969107,LKH,1.3080810208405074
0.0,0.0,23,PointerNet:batch_greedy_mean,43.81053839615929,38.95090221969107,LKH,12.476312227785815
0.0,0.0,23,PointerNet:greedy_rollout,45.00676780510931,38.95090221969107,LKH,15.547433410558542
0.0,0.0,23,POMO,39.40008887341781,38.95090221969107,LKH,1.1532124498509158
0.0,0.0,24,Attention:batch_greedy_mean,45.31174623488346,44.03925020745511,LKH,2.889458883686747
0.0,0.0,24,Attention:greedy_rollout,45.45855538626344,44.03925020745511,LKH,3.222818672258105
0.0,0.0,24,PointerNet:batch_greedy_mean,49.868000589331785,44.03925020745511,LKH,13.235353359603664
0.0,0.0,24,PointerNet:greedy_rollout,46.94138622249957,44.03925020745511,LKH,6.589885162379925
0.0,0.0,24,POMO,44.3287467059223,44.03925020745511,LKH,0.6573601891573084
