method,instance,permutation,length_abs_diff,hamming_distance,perfect_match
Attention:batch_greedy_mean,70,1,0.0,0.0,True
Attention:batch_greedy_mean,70,2,0.0,0.0,True
Attention:batch_greedy_mean,70,3,0.0,0.0,True
Attention:batch_greedy_mean,70,4,0.0,0.0,True
Attention:batch_greedy_mean,71,0,0.0,0.0,True
Attention:batch_greedy_mean,71,1,0.0,0.0,True
Attention:batch_greedy_mean,71,2,0.0,0.0,True
Attention:batch_greedy_mean,71,3,0.0,0.0,True
Attention:batch_greedy_mean,71,4,0.0,0.0,True
Attention:batch_greedy_mean,72,0,0.0,0.0,True
Attention:batch_greedy_mean,72,1,0.0,0.0,True
Attention:batch_greedy_mean,72,2,0.0,0.0,True
Attention:batch_greedy_mean,72,3,0.0,0.0,True
Attention:batch_greedy_mean,72,4,0.0,0.0,True
Attention:batch_greedy_mean,73,0,0.0,0.0,True
Attention:batch_greedy_mean,73,1,0.0,0.0,True
Attention:batch_greedy_mean,73,2,0.0,0.0,True
Attention:batch_greedy_mean,73,3,0.0,0.0,True
Attention:batch_greedy_mean,73,4,0.0,0.0,True
Attention:batch_greedy_mean,74,0,0.0,0.0,True
Attention:batch_greedy_mean,74,1,0.0,0.0,True
Attention:batch_greedy_mean,74,2,0.0,0.0,True
Attention:batch_greedy_mean,74,3,0.0,0.0,True
Attention:batch_greedy_mean,74,4,0.0,0.0,True
Attention:batch_greedy_mean,75,0,0.0,0.0,True
Attention:batch_greedy_mean,75,1,0.0,0.0,True
Attention:batch_greedy_mean,75,2,0.0,0.0,True
Attention:batch_greedy_mean,75,3,0.0,0.0,True
Attention:batch_greedy_mean,75,4,0.0,0.0,True
Attention:batch_greedy_mean,76,0,0.0,0.0,True
Attention:batch_greedy_mean,76,1,0.0,0.0,True
Attention:batch_greedy_mean,76,2,0.0,0.0,True
Attention:batch_greedy_mean,76,3,0.0,0.0,True
Attention:batch_greedy_mean,76,4,0.0,0.0,True
Attention:batch_greedy_mean,77,0,0.0,0.0,True
Attention:batch_greedy_mean,77,1,0.0,0.0,True
Attention:batch_greedy_mean,77,2,0.0,0.0,True
Attention:batch_greedy_mean,77,3,0.0,0.0,True
Attention:batch_greedy_mean,77,4,0.0,0.0,True
Attention:batch_greedy_mean,78,0,0.0,0.0,True
Attention:batch_greedy_mean,78,1,0.0,0.0,True
Attention:batch_greedy_mean,78,2,0.0,0.0,True
Attention:batch_greedy_mean,78,3,0.0,0.0,True
Attention:batch_greedy_mean,78,4,0.0,0.0,True
Attention:batch_greedy_mean,79,0,0.0,0.0,True
