n_cities,instance,method,length,gap_percent,time_ms
300,158,PointerNet:greedy_rollout,226.702270348332,67.35754784611268,225.60790000716224
300,158,POMO,170.2862619870595,25.709774296685488,3540.313499979675
300,159,LKH,131.4223134403942,0.0,47012.76070001768
300,159,Attention:batch_greedy_mean,225.2578623773254,71.400013042298,57.18349997187033
300,159,Attention:greedy_rollout,201.5668476044808,53.37338259221883,54.106099996715784
300,159,PointerNet:batch_greedy_mean,248.71758871758794,89.25065478351387,206.0034000314772
300,159,PointerNet:greedy_rollout,219.7555968154002,67.21330728595723,209.78549995925277
300,159,POMO,164.39494501631916,25.089066470344477,3164.0137000358663
300,160,LKH,130.9755380695663,0.0,44834.89290002035
300,160,Attention:batch_greedy_mean,216.2204250949535,65.08458623785934,59.27119997795671
300,160,Attention:greedy_rollout,210.65125493635182,60.83251730904634,67.83419998828322
300,160,PointerNet:batch_greedy_mean,250.9328654632494,91.58758128557487,201.4822000055574
300,160,PointerNet:greedy_rollout,231.21582977378526,76.5335979387062,196.66130002588034
300,160,POMO,164.1757483266261,25.348405317812727,3212.565599998925
300,161,LKH,130.8397792534185,0.0,45017.93969998835
300,161,Attention:batch_greedy_mean,212.46236358566526,62.38361513447309,82.48169999569654
300,161,Attention:greedy_rollout,202.26009940597928,54.586090377170024,61.80359999416396
300,161,PointerNet:batch_greedy_mean,245.61586840473814,87.72262518802808,260.8059999765828
300,161,PointerNet:greedy_rollout,228.67568153251744,74.77534954381449,226.32770001655445
300,161,POMO,165.9831663507398,26.859864253709443,3322.20180000877
300,162,LKH,129.80423682201135,0.0,51052.28360003093
300,162,Attention:batch_greedy_mean,211.7770031225793,63.15107141916306,57.050000003073364
300,162,Attention:greedy_rollout,201.61651094506715,55.323520927537515,59.192399960011244
300,162,PointerNet:batch_greedy_mean,233.2238394305464,79.67351847717026,200.13040001504123
300,162,PointerNet:greedy_rollout,226.69887069870254,74.64674208558687,206.0279999859631
300,162,POMO,159.96397402836158,23.234786432823075,3204.4151999871247
300,163,LKH,128.93577256045285,0.0,46362.77400003746
300,163,Attention:batch_greedy_mean,211.3224800966167,63.897478488784785,69.68960002996027
300,163,Attention:greedy_rollout,197.51946171122438,53.19213418340932,63.51480004377663
300,163,PointerNet:batch_greedy_mean,253.28310260794308,96.44129598648716,189.85790002625436
300,163,PointerNet:greedy_rollout,228.17092361973693,76.96479346936606,196.11130002886057
300,163,POMO,166.12564317639254,28.843717982534944,3151.476300030481
300,164,LKH,132.49507872968366,0.0,45022.69380004145
300,164,Attention:batch_greedy_mean,231.37225658511096,74.62705694688965,59.531900042202324
300,164,Attention:greedy_rollout,200.348728346138,51.21220370372343,65.6209000153467
300,164,PointerNet:batch_greedy_mean,252.04024457096992,90.22611782070956,222.61900000739843
300,164,PointerNet:greedy_rollout,221.574210782029,67.2320307338241,225.482199981343
300,164,POMO,170.57962234775357,28.744119391611495,3143.5686000040732
300,165,LKH,130.863378816619,0.0,47685.963099997025
300,165,Attention:batch_greedy_mean,217.68867148122104,66.34804438778228,67.21339997602627
300,165,Attention:greedy_rollout,208.07576296309148,59.00228531824131,65.02649997128174
300,165,PointerNet:batch_greedy_mean,251.7811572507194,92.40001253791901,204.310400004033
300,165,PointerNet:greedy_rollout,232.22904513465113,77.45915414584971,238.19980002008379
300,165,POMO,159.93279522813987,22.213560947601948,3286.5306999883614
300,166,LKH,128.4209708735412,0.0,47582.017800014
300,166,Attention:batch_greedy_mean,206.54305712630844,60.83281081070139,68.05659999372438
300,166,Attention:greedy_rollout,191.37824014660487,49.024134333214946,58.312300010584295
300,166,PointerNet:batch_greedy_mean,232.98616291145368,81.4237669491535,201.5118999988772
300,166,PointerNet:greedy_rollout,223.74377092013856,74.22681778388338,214.851800003089
300,166,POMO,166.30247036768088,29.49790772991616,3280.4416000144556
300,167,LKH,128.16791136925485,0.0,50219.089399965014
300,167,Attention:batch_greedy_mean,214.06417042300802,67.0185369614739,60.712300008162856
300,167,Attention:greedy_rollout,203.3342028651693,58.64673200404938,69.31699998676777
300,167,PointerNet:batch_greedy_mean,230.67593806447394,79.9794781705469,203.8444000063464
300,167,PointerNet:greedy_rollout,229.67803226481175,79.20088562815366,207.77040004031733
300,167,POMO,166.72086070255128,30.08003245229178,3332.3726000380702
300,168,LKH,131.55064421958934,0.0,46699.41689999541
300,168,Attention:batch_greedy_mean,215.39143744682588,63.732712009594024,57.88820004090667
300,168,Attention:greedy_rollout,209.84362650684875,59.515468549564666,58.61080001341179
300,168,PointerNet:batch_greedy_mean,252.68799563352582,92.08419474687588,187.40980001166463
300,168,PointerNet:greedy_rollout,235.35948031346624,78.9116896460007,155.72410001186654
300,168,POMO,169.2037422581459,28.622511324007327,2944.3834999692626
300,169,LKH,130.12596261961625,0.0,46194.0969999996
300,169,Attention:batch_greedy_mean,210.3053305052499,61.61673371824631,56.02700001327321
300,169,Attention:greedy_rollout,202.38791570725516,55.532310103922,48.85339998872951
300,169,PointerNet:batch_greedy_mean,239.15672348304267,83.78862962354773,167.76979999849573
300,169,PointerNet:greedy_rollout,234.58081115866986,80.27210437965839,169.828400015831
300,169,POMO,163.1178764943421,25.353828867470295,2873.387500003446
300,170,LKH,132.38113932265594,0.0,41989.018800028134
